"","od","num_airlines","average_delay","origin","dest","airport_origin","city_origin","state_origin","country_origin","latitude_origin","longitude_origin","airport_destination","city_destination","state_destination","country_destination","latitude_destination","longitude_destination"
"25","ATLORD",5,0.208412331392117,"ATL","ORD","Hartsfield-Jackson Atlanta International Airport","Atlanta","GA","USA",33.64044,-84.42694,"Chicago O'Hare International Airport","Chicago","IL","USA",41.9796,-87.90446
"26","ORDTPA",4,0.208080777968154,"ORD","TPA","Chicago O'Hare International Airport","Chicago","IL","USA",41.9796,-87.90446,"Tampa International Airport","Tampa","FL","USA",27.97547,-82.53325
"27","BOSLAS",3,0.205730961146052,"BOS","LAS","Gen. Edward Lawrence Logan International Airport","Boston","MA","USA",42.36435,-71.00518,"McCarran International Airport","Las Vegas","NV","USA",36.08036,-115.15233
"28","LAXORD",5,0.20567003622429,"LAX","ORD","Los Angeles International Airport","Los Angeles","CA","USA",33.94254,-118.40807,"Chicago O'Hare International Airport","Chicago","IL","USA",41.9796,-87.90446
"29","MCIORD",3,0.205605069758147,"MCI","ORD","Kansas City International Airport","Kansas City","MO","USA",39.29761,-94.71391,"Chicago O'Hare International Airport","Chicago","IL","USA",41.9796,-87.90446
"30","BOSFLL",3,0.205419908982593,"BOS","FLL","Gen. Edward Lawrence Logan International Airport","Boston","MA","USA",42.36435,-71.00518,"Fort Lauderdale-Hollywood International Airport","Ft. Lauderdale","FL","USA",26.07258,-80.15275
"31","ORDRSW",4,0.20508657431978,"ORD","RSW","Chicago O'Hare International Airport","Chicago","IL","USA",41.9796,-87.90446,"Southwest Florida International Airport","Ft. Myers","FL","USA",26.53617,-81.75517
"32","LAXPDX",4,0.200832923849795,"LAX","PDX","Los Angeles International Airport","Los Angeles","CA","USA",33.94254,-118.40807,"Portland International Airport","Portland","OR","USA",45.58872,-122.5975
"33","DFWORD",3,0.197770360508913,"DFW","ORD","Dallas/Fort Worth International Airport","Dallas-Fort Worth","TX","USA",32.89595,-97.0372,"Chicago O'Hare International Airport","Chicago","IL","USA",41.9796,-87.90446
"34","ORDSFO",4,0.19714649658111,"ORD","SFO","Chicago O'Hare International Airport","Chicago","IL","USA",41.9796,-87.90446,"San Francisco International Airport","San Francisco","CA","USA",37.619,-122.37484
"35","DENSFO",3,0.196746293012861,"DEN","SFO","Denver International Airport","Denver","CO","USA",39.85841,-104.667,"San Francisco International Airport","San Francisco","CA","USA",37.619,-122.37484
"36","ATLIAH",3,0.196584588182221,"ATL","IAH","Hartsfield-Jackson Atlanta International Airport","Atlanta","GA","USA",33.64044,-84.42694,"George Bush Intercontinental Airport","Houston","TX","USA",29.98047,-95.33972
"37","DENMIA",3,0.195602265315006,"DEN","MIA","Denver International Airport","Denver","CO","USA",39.85841,-104.667,"Miami International Airport","Miami","FL","USA",25.79325,-80.29056
"38","IAHPHL",3,0.194261947425239,"IAH","PHL","George Bush Intercontinental Airport","Houston","TX","USA",29.98047,-95.33972,"Philadelphia International Airport","Philadelphia","PA","USA",39.87195,-75.24114
"39","LAXSMF",3,0.193292956888961,"LAX","SMF","Los Angeles International Airport","Los Angeles","CA","USA",33.94254,-118.40807,"Sacramento International Airport","Sacramento","CA","USA",38.69542,-121.59077
"40","ATLPHL",5,0.192423200667758,"ATL","PHL","Hartsfield-Jackson Atlanta International Airport","Atlanta","GA","USA",33.64044,-84.42694,"Philadelphia International Airport","Philadelphia","PA","USA",39.87195,-75.24114
"41","MCOPHL",3,0.192250399320264,"MCO","PHL","Orlando International Airport","Orlando","FL","USA",28.42889,-81.31603,"Philadelphia International Airport","Philadelphia","PA","USA",39.87195,-75.24114
"42","DENDFW",4,0.190859373056591,"DEN","DFW","Denver International Airport","Denver","CO","USA",39.85841,-104.667,"Dallas/Fort Worth International Airport","Dallas-Fort Worth","TX","USA",32.89595,-97.0372
"43","ATLBWI",3,0.18810741474055,"ATL","BWI","Hartsfield-Jackson Atlanta International Airport","Atlanta","GA","USA",33.64044,-84.42694,"Baltimore-Washington International Airport","Baltimore","MD","USA",39.1754,-76.6682
"44","DENLGA",4,0.187425361181723,"DEN","LGA","Denver International Airport","Denver","CO","USA",39.85841,-104.667,"LaGuardia Airport (Marine Air Terminal)","New York","NY","USA",40.77724,-73.87261
